epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,133756,1.27868,0.62808,0.93891,0.56652,0.5426,0.50273,0.27089,1.0435,8.08925,0.72032,0.000743468,0.000743468,0.000743468
138,134730,1.27088,0.62357,0.92973,0.56686,0.54326,0.50424,0.27201,1.04297,8.07121,0.72014,0.000740054,0.000740054,0.000740054
139,135707,1.28614,0.63061,0.93862,0.56777,0.5443,0.50547,0.27298,1.04261,8.06351,0.71965,0.000736625,0.000736625,0.000736625
140,136678,1.27179,0.62801,0.93307,0.57232,0.54348,0.50604,0.27314,1.04259,8.03896,0.7196,0.000733182,0.000733182,0.000733182
141,137653,1.26331,0.61692,0.93583,0.57329,0.54332,0.50677,0.27367,1.04275,8.03995,0.71949,0.000729725,0.000729725,0.000729725
142,138626,1.2587,0.62084,0.93275,0.55938,0.55687,0.50734,0.27395,1.04256,8.02954,0.71965,0.000726254,0.000726254,0.000726254
143,139603,1.2731,0.62637,0.9332,0.56062,0.55742,0.50811,0.27411,1.04237,8.01931,0.71965,0.00072277,0.00072277,0.00072277
144,140578,1.26502,0.61802,0.92996,0.565,0.55515,0.5085,0.27462,1.04292,8.00673,0.72015,0.000719272,0.000719272,0.000719272
145,141556,1.27524,0.63417,0.93457,0.5664,0.55366,0.50961,0.27514,1.04331,7.99023,0.72032,0.000715761,0.000715761,0.000715761
146,142529,1.25785,0.61539,0.93235,0.56938,0.55242,0.51028,0.27528,1.04354,7.99488,0.72051,0.000712237,0.000712237,0.000712237
147,143507,1.26531,0.62834,0.93454,0.57025,0.552,0.51028,0.27528,1.04381,7.98554,0.72038,0.0007087,0.0007087,0.0007087
148,144482,1.24874,0.60621,0.92457,0.57225,0.54979,0.51057,0.27538,1.04308,7.98329,0.72041,0.00070515,0.00070515,0.00070515
149,145458,1.25362,0.61638,0.9263,0.57578,0.55001,0.5122,0.27619,1.04283,7.95654,0.72054,0.000701588,0.000701588,0.000701588
150,146435,1.25191,0.61289,0.9276,0.57597,0.55001,0.51274,0.27645,1.04331,7.94493,0.72081,0.000698014,0.000698014,0.000698014
151,147405,1.26132,0.61149,0.92725,0.57645,0.55134,0.51369,0.2772,1.04281,7.94613,0.72053,0.000694428,0.000694428,0.000694428
152,148380,1.25182,0.60042,0.92841,0.57583,0.552,0.51507,0.27778,1.04313,7.93567,0.72057,0.000690831,0.000690831,0.000690831
153,149357,1.2526,0.60522,0.93066,0.57945,0.54968,0.51433,0.27784,1.04336,7.92135,0.72064,0.000687222,0.000687222,0.000687222
154,150331,1.25243,0.61598,0.93739,0.58566,0.54492,0.51483,0.27809,1.04135,7.90835,0.72023,0.000683601,0.000683601,0.000683601
155,151305,1.24293,0.60101,0.92649,0.58643,0.54459,0.51546,0.27809,1.04163,7.89592,0.72042,0.00067997,0.00067997,0.00067997
156,152277,1.24948,0.6148,0.9267,0.58362,0.54924,0.51633,0.27825,1.04118,7.87489,0.7201,0.000676328,0.000676328,0.000676328
157,153248,1.24911,0.61485,0.93369,0.58906,0.54525,0.5166,0.27823,1.04137,7.87513,0.72012,0.000672675,0.000672675,0.000672675
158,154215,1.25093,0.60709,0.93168,0.58992,0.54426,0.51669,0.278,1.04238,7.86551,0.72025,0.000669012,0.000669012,0.000669012
159,155189,1.24875,0.60743,0.92664,0.59098,0.54451,0.51717,0.27837,1.04318,7.86858,0.72045,0.000665339,0.000665339,0.000665339
160,156163,1.24012,0.60008,0.92337,0.58927,0.54724,0.51693,0.27836,1.04474,7.88104,0.72178,0.000661656,0.000661656,0.000661656
161,157136,1.24283,0.60387,0.93265,0.5897,0.54758,0.51752,0.27852,1.04575,7.89062,0.72199,0.000657963,0.000657963,0.000657963
162,158113,1.2481,0.59798,0.93342,0.58946,0.5476,0.51748,0.2784,1.04734,7.9245,0.72264,0.000654261,0.000654261,0.000654261
163,159083,1.2444,0.59071,0.92497,0.58875,0.55067,0.51762,0.27819,1.04811,7.91362,0.7225,0.00065055,0.00065055,0.00065055
164,160059,1.25018,0.61436,0.9268,0.59153,0.5512,0.51862,0.27836,1.04707,7.91834,0.72183,0.00064683,0.00064683,0.00064683
165,161035,1.25077,0.60138,0.93049,0.58906,0.55177,0.51839,0.27827,1.04785,7.91509,0.72221,0.000643101,0.000643101,0.000643101
166,162009,1.23855,0.59523,0.92317,0.58507,0.55621,0.51863,0.27843,1.04812,7.90828,0.72231,0.000639363,0.000639363,0.000639363
167,162984,1.24279,0.60391,0.92802,0.58694,0.55588,0.51925,0.27887,1.048,7.91651,0.72229,0.000635617,0.000635617,0.000635617
168,163956,1.231,0.58597,0.92421,0.58729,0.55296,0.51864,0.27855,1.04812,7.93381,0.72232,0.000631863,0.000631863,0.000631863
169,164935,1.23675,0.59277,0.92944,0.58643,0.55256,0.51929,0.27912,1.048,7.92137,0.72209,0.000628101,0.000628101,0.000628101
170,165914,1.23879,0.60878,0.92914,0.58697,0.553,0.52005,0.27923,1.04811,7.90522,0.72206,0.000624332,0.000624332,0.000624332
171,166892,1.23586,0.59218,0.92582,0.58655,0.55521,0.52084,0.27988,1.04862,7.87801,0.72214,0.000620555,0.000620555,0.000620555
172,167867,1.22923,0.5938,0.92613,0.58673,0.55643,0.52216,0.28011,1.04913,7.84707,0.72227,0.000616772,0.000616772,0.000616772
173,168844,1.24017,0.59915,0.92623,0.58814,0.55648,0.521,0.28015,1.04993,7.85456,0.72231,0.000612981,0.000612981,0.000612981
174,169823,1.23005,0.60136,0.92249,0.58926,0.55543,0.52249,0.28035,1.05023,7.86469,0.72237,0.000609184,0.000609184,0.000609184
175,170798,1.21934,0.57694,0.92332,0.59008,0.55543,0.52158,0.28057,1.05035,7.88842,0.72254,0.00060538,0.00060538,0.00060538
