epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,140787,1.31644,0.63961,0.96305,0.54121,0.54813,0.46758,0.16507,1.32585,9.10211,0.85722,0.000829423,0.000829423,0.000829423
111,142064,1.29988,0.61612,0.95756,0.54145,0.54937,0.46842,0.16545,1.32601,9.09562,0.85759,0.000826477,0.000826477,0.000826477
112,143339,1.28335,0.61284,0.94326,0.54044,0.55045,0.46926,0.1657,1.32543,9.09745,0.85772,0.000823511,0.000823511,0.000823511
113,144615,1.29768,0.63219,0.95539,0.54158,0.54913,0.47035,0.16632,1.32559,9.08586,0.85799,0.000820525,0.000820525,0.000820525
114,145893,1.28686,0.61785,0.94702,0.54331,0.54811,0.47043,0.16676,1.32528,9.07136,0.85804,0.00081752,0.00081752,0.00081752
115,147172,1.2913,0.63374,0.94652,0.54476,0.54734,0.47148,0.16747,1.32487,9.02197,0.85774,0.000814495,0.000814495,0.000814495
116,148451,1.28965,0.62405,0.95385,0.54878,0.54714,0.47384,0.16849,1.32497,8.95555,0.85791,0.000811452,0.000811452,0.000811452
117,149726,1.28858,0.62105,0.95045,0.55279,0.54433,0.4757,0.16915,1.32399,8.90902,0.85779,0.000808389,0.000808389,0.000808389
118,151002,1.27555,0.62829,0.94238,0.55418,0.54503,0.47736,0.16976,1.32402,8.88571,0.85806,0.000805308,0.000805308,0.000805308
119,152278,1.28507,0.61937,0.95164,0.55539,0.54536,0.47821,0.17038,1.32337,8.88379,0.85804,0.000802208,0.000802208,0.000802208
120,153556,1.27999,0.61306,0.94575,0.55383,0.55001,0.48013,0.17104,1.32334,8.87569,0.85808,0.00079909,0.00079909,0.00079909
121,154833,1.27629,0.60985,0.94654,0.55301,0.55015,0.4803,0.17124,1.32368,8.85619,0.85846,0.000795954,0.000795954,0.000795954
122,156107,1.28413,0.6174,0.94564,0.5524,0.55057,0.48064,0.17156,1.32339,8.84223,0.85851,0.0007928,0.0007928,0.0007928
123,157381,1.27623,0.60493,0.94223,0.55208,0.55034,0.48083,0.17183,1.32415,8.83793,0.85925,0.000789628,0.000789628,0.000789628
124,158658,1.2826,0.61432,0.94546,0.55264,0.55083,0.48203,0.17197,1.32504,8.85635,0.85988,0.000786438,0.000786438,0.000786438
125,159935,1.28428,0.61481,0.95191,0.5527,0.55145,0.48226,0.17191,1.32506,8.84731,0.86033,0.000783231,0.000783231,0.000783231
126,161209,1.27262,0.61075,0.95521,0.55322,0.55256,0.48323,0.17192,1.32523,8.829,0.86087,0.000780007,0.000780007,0.000780007
127,162480,1.28212,0.61726,0.94536,0.55356,0.55377,0.4839,0.17208,1.32552,8.82406,0.86145,0.000776766,0.000776766,0.000776766
128,163757,1.24456,0.59519,0.94147,0.55472,0.55322,0.48329,0.17203,1.32599,8.8444,0.86191,0.000773509,0.000773509,0.000773509
129,165031,1.27508,0.61209,0.94569,0.55585,0.55256,0.4849,0.17257,1.3267,8.81266,0.86261,0.000770234,0.000770234,0.000770234
130,166306,1.25939,0.60496,0.93988,0.5519,0.5582,0.48526,0.17217,1.32839,8.78177,0.86369,0.000766944,0.000766944,0.000766944
131,167579,1.27715,0.61443,0.9451,0.55254,0.55687,0.48621,0.1724,1.32982,8.75344,0.86468,0.000763637,0.000763637,0.000763637
132,168854,1.2465,0.59373,0.93939,0.55357,0.55565,0.48663,0.17232,1.33081,8.7364,0.86538,0.000760314,0.000760314,0.000760314
133,170136,1.2527,0.60101,0.94726,0.5527,0.55742,0.48725,0.17232,1.3317,8.71704,0.86635,0.000756976,0.000756976,0.000756976
134,171413,1.26985,0.60465,0.94291,0.55226,0.55809,0.48726,0.17227,1.33293,8.68596,0.86724,0.000753621,0.000753621,0.000753621
135,172687,1.24856,0.60127,0.93141,0.55461,0.55648,0.48726,0.17205,1.33516,8.67541,0.86862,0.000750252,0.000750252,0.000750252
136,173963,1.25424,0.59768,0.93706,0.55298,0.55693,0.48696,0.17198,1.33704,8.68891,0.86997,0.000746868,0.000746868,0.000746868
137,175242,1.26959,0.6032,0.94471,0.55293,0.55599,0.48774,0.17219,1.33854,8.66658,0.87124,0.000743468,0.000743468,0.000743468
138,176519,1.26135,0.60016,0.94515,0.55409,0.55565,0.48848,0.17203,1.3397,8.63473,0.87221,0.000740054,0.000740054,0.000740054
139,177799,1.2586,0.59208,0.93294,0.55559,0.55371,0.48902,0.17202,1.34053,8.59928,0.87279,0.000736625,0.000736625,0.000736625
140,179076,1.24819,0.58489,0.94547,0.55598,0.553,0.49051,0.17229,1.34112,8.56808,0.87364,0.000733182,0.000733182,0.000733182
141,180356,1.24397,0.59963,0.9334,0.55434,0.55599,0.4914,0.17268,1.34123,8.56603,0.87382,0.000729725,0.000729725,0.000729725
142,181639,1.24515,0.58832,0.93902,0.55445,0.55687,0.49168,0.17288,1.3414,8.53634,0.87435,0.000726254,0.000726254,0.000726254
143,182922,1.24772,0.58924,0.94803,0.55335,0.5613,0.49275,0.17308,1.3412,8.53164,0.87472,0.00072277,0.00072277,0.00072277
144,184199,1.22646,0.58463,0.9319,0.55351,0.56114,0.49257,0.17313,1.34125,8.51694,0.87535,0.000719272,0.000719272,0.000719272
145,185480,1.23951,0.58841,0.93592,0.55216,0.56417,0.49288,0.17296,1.34114,8.52007,0.87556,0.000715761,0.000715761,0.000715761
146,186760,1.23823,0.58385,0.94201,0.55454,0.56207,0.49452,0.17383,1.34144,8.5157,0.87558,0.000712237,0.000712237,0.000712237
147,188039,1.23898,0.57696,0.93314,0.55558,0.56196,0.49565,0.17453,1.33994,8.5033,0.87521,0.0007087,0.0007087,0.0007087
148,189320,1.24003,0.58187,0.94209,0.55523,0.56296,0.49552,0.17443,1.34012,8.50393,0.87554,0.00070515,0.00070515,0.00070515
149,190598,1.23294,0.57572,0.93717,0.55515,0.56238,0.49573,0.17451,1.34092,8.53557,0.87629,0.000701588,0.000701588,0.000701588
